district_name,speed_acr,PUBLICTR_percent,
1,-0.008986409,2.145936,
2,-0.070764042,0.746721,
3,0.019098906,2.266483,
4,0.030647164,9.945316,
5,-0.01361688,3.149698,
6,0.008638814,1.331517,
7,0.05576825,4.715469,
8,0.019324103,1.595407,
9,,,-0.220663843
10,-0.007779328,1.353814,
11,0.033507643,3.197463,
12,0.055304152,2.492964,
,,,
,,,
,,,
district_name,speed_acr,PUBLICTR_percent,
1,,,
2,,,
3,,,
4,0.030647164,9.945316,
5,,,
6,,,
7,0.05576825,4.715469,
8,,,
9,,,
10,,,
11,,,
12,0.055304152,2.492964,
,,,
,,,
,,,
district_name,speed_acr,PUBLICTR_percent,
1,-0.008986409,2.145936,
2,-0.070764042,0.746721,
3,0.019098906,2.266483,
4,,,
5,-0.01361688,3.149698,
6,0.008638814,1.331517,
7,,,
8,0.019324103,1.595407,
9,,,
10,-0.007779328,1.353814,
11,0.033507643,3.197463,
12,,,
,,,
,,,
,,,
district_name,speed_acr,PUBLICTR_percent,
1,,,
2,,,
3,0.019098906,2.266483,
4,0.030647164,9.945316,High r without
5,,,
6,,,
7,0.05576825,4.715469,
8,0.019324103,1.595407,
9,,,
10,,,
11,0.033507643,3.197463,
12,0.055304152,2.492964,
,,,
,,,
,,,
district_name,speed_acr,PUBLICTR_percent,
1,-0.008986409,2.145936,
2,-0.070764042,0.746721,
3,,,
4,,,
5,-0.01361688,3.149698,
6,0.008638814,1.331517,
7,,,
8,,,
9,,,
10,-0.007779328,1.353814,
11,,,
12,,,
