district_name,p50_acr
1,-0.2078462696418233
2,-0.13281902194551665
3,-0.1495738816012035
4,-0.13838253821951105
5,-0.26629487762930953
6,-0.41198397985549984
7,-0.14164115037988467
8,-0.13194542187360572
9,-0.36716436074744724
10,-0.1552801510677517
11,-0.15887777086668284
12,-0.13726598459686692
