district_name,speed_acr
1,-0.008986409
2,-0.070764042
3,0.019098906
4,0.030647164
5,-0.01361688
6,0.008638814
7,0.05576825
8,0.019324103
9,-0.220663843
10,-0.007779328
11,0.033507643
12,0.055304152
