route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
40,0,offpeak,15.43490466,7,12447.5344020777
40,0,peak,15.09236811,7,12447.5344020777
40,0,all_day,15.25101922,7,12447.5344020777
40,1,offpeak,13.1942273,7,12347.0544658116
40,1,peak,12.98664724,7,12347.0544658116
40,1,all_day,13.0798503,7,12347.0544658116
5671,0,peak,30.22378498,3,38293.8860081604
5671,0,all_day,30.22378498,3,38293.8860081604
5671,1,peak,32.71146639,3,39546.6313900942
5671,1,all_day,32.71146639,3,39546.6313900942
1,0,offpeak,12.85601461,4,8684.87019617048
1,0,peak,9.40405295,4,8684.87019617048
1,0,all_day,10.6539232,4,8684.87019617048
1,1,offpeak,11.46222868,4,8061.61055343005
1,1,peak,11.73933334,4,8061.61055343005
1,1,all_day,11.62369149,4,8061.61055343005
4,1,offpeak,8.86225785,4,16225.5547410237
4,1,peak,13.82707267,4,16225.5547410237
4,1,all_day,11.1802723,4,16225.5547410237
9cf77254-5a34-4478-9d00-eb863cdf1dd1,1,offpeak,35.62625048,3,45247.8328031025
9cf77254-5a34-4478-9d00-eb863cdf1dd1,1,peak,33.36117529,3,45247.8328031025
9cf77254-5a34-4478-9d00-eb863cdf1dd1,1,all_day,34.6189064,3,45247.8328031025
9cf77254-5a34-4478-9d00-eb863cdf1dd1,0,offpeak,35.0378357,3,46022.8020676335
9cf77254-5a34-4478-9d00-eb863cdf1dd1,0,peak,30.68072701,3,46022.8020676335
9cf77254-5a34-4478-9d00-eb863cdf1dd1,0,all_day,32.40789743,3,46022.8020676335
5391,1,offpeak,14.84388179,3,21850.2088277559
5391,1,peak,13.3654073,3,21850.2088277559
5391,1,all_day,14.24722694,3,21850.2088277559
5391,0,offpeak,12.75590606,3,3510.79522441019
5391,0,peak,12.55911869,3,3510.79522441019
5391,0,all_day,12.67316674,3,3510.79522441019
803,0,offpeak,33.09028295,7,38092.7999506234
803,0,peak,33.04350915,7,38092.7999506234
803,0,all_day,33.07067302,7,38092.7999506234
803,1,offpeak,32.39115439,7,38092.7999506235
803,1,peak,32.52078197,7,38092.7999506235
803,1,all_day,32.4483191,7,38092.7999506235
164,1,offpeak,27.10496796,4,91724.2407796531
164,1,peak,22.27595682,4,91724.2407796531
164,1,all_day,24.46227346,4,91724.2407796531
164,0,peak,26.75871211,4,91414.0873093114
164,0,all_day,26.75871211,4,91414.0873093114
1381,1,offpeak,49.43864138,8,53382.918104441
1381,1,peak,43.05622545,8,53382.918104441
1381,1,all_day,46.02723075,8,53382.918104441
2033,0,offpeak,39.14156798,1,75081.1659261675
2033,0,all_day,39.14156798,1,75081.1659261675
2033,1,peak,31.68983038,1,75622.9189509757
2033,1,all_day,31.68983038,1,75622.9189509757
21,1,offpeak,27.51281148,4,42967.3043378119
21,1,peak,29.27864481,4,42967.3043378119
21,1,all_day,28.62154838,4,42967.3043378119
21,0,offpeak,29.74345834,4,43957.1713650115
21,0,peak,31.3079638,4,43957.1713650115
21,0,all_day,30.80821476,4,43957.1713650115
3424,1,offpeak,16.44019407,3,21071.109703545
3424,1,peak,16.40752361,3,21071.109703545
3424,1,all_day,16.42192335,3,21071.109703545
3424,0,offpeak,18.1723714,3,22233.9463267845
3424,0,peak,16.71107578,3,22233.9463267845
3424,0,all_day,17.35860799,3,22233.9463267845
155,1,offpeak,14.92618909,2,15104.2139730657
155,1,peak,17.1228276,2,15104.2139730657
155,1,all_day,16.03376448,2,15104.2139730657
155,0,offpeak,15.58573553,2,12525.4203896011
155,0,peak,16.10864187,2,12525.4203896011
155,0,all_day,15.863007,2,12525.4203896011
66,0,offpeak,9.69618865,4,17724.661186949
66,0,peak,9.60875293,4,17724.661186949
66,0,all_day,9.63628699,4,17724.661186949
16672,1,offpeak,32.50400313,3,61942.9524781452
16672,1,peak,26.76757293,3,61942.9524781452
16672,1,all_day,29.22301907,3,61942.9524781452
16672,0,offpeak,31.13896606,3,60639.4239431507
16672,0,all_day,31.13896606,3,60639.4239431507
4819,1,offpeak,10.31126332,7,15978.8929832898
4819,1,peak,9.76443325,7,15978.8929832898
4819,1,all_day,10.00043921,7,15978.8929832898
4819,0,offpeak,9.2120312,7,15947.9653468505
4819,0,peak,9.61956095,7,15947.9653468505
4819,0,all_day,9.42615208,7,15947.9653468505
2031,0,offpeak,27.45194532,1,47185.3496884405
2031,0,all_day,27.45194532,1,47185.3496884405
2031,1,offpeak,31.35233915,1,39651.9731372819
2031,1,peak,28.50070989,1,39651.9731372819
